,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, December 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Nov.
2017",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Dec.
2016","Jan.
2017","Feb.
2017","Mar.
2017","Apr.
2017","May
2017","Jun.
2017","Jul.
2017","Aug.
2017","Sep.
2017","Oct.
2017","Nov.
2017","Dec.
2017","Dec.
2016","Jan.
2017","Feb.
2017","Mar.
2017","Apr.
2017","May
2017","Jun.
2017","Jul.
2017","Aug.
2017","Sep.
2017","Oct.
2017","Nov.
2017","Dec.
2017","Dec.
2016-
Dec.
2017","Sep.
2017-
Oct.
2017","Oct.
2017-
Nov.
2017","Nov.
2017-
Dec.
2017","Sep.
2017-
Oct.
2017","Oct.
2017-
Nov.
2017","Nov.
2017-
Dec.
2017","Seasonally adjusted effect on All Items
Nov. 2017-
Dec. 2017(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Dec. 2016-
Dec. 2017(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,241.432,242.839,243.603,243.801,244.524,244.733,244.955,244.786,245.519,246.819,246.663,246.669,246.524,242.821,244.158,244.456,243.752,244.158,243.846,243.790,244.048,245.030,246.373,246.639,247.592,247.963,2.1,-0.1,0.0,-0.1,0.1,0.4,0.1,,0.03,S-Oct. 2017,0.1,,0.06,S-Oct. 2017,2.0
1,Food,13.600,247.313,248.242,248.791,249.165,249.739,250.016,249.653,250.214,250.493,250.993,251.364,250.871,251.238,247.494,247.816,248.417,249.268,249.767,250.161,250.042,250.470,250.596,250.857,250.959,251.015,251.408,1.6,0.1,-0.2,0.1,0.0,0.0,0.2,0.021,0.06,L-Jul. 2017,0.2,0.217,0.09,L-Oct. 2015,1.6
2,Food at home,7.795,236.464,237.365,237.918,238.256,238.817,238.964,238.300,238.953,238.843,239.128,239.543,238.403,238.579,236.763,236.659,237.298,238.426,238.863,239.206,238.945,239.377,239.015,238.903,238.872,238.641,238.861,0.9,0.2,-0.5,0.1,0.0,-0.1,0.1,0.007,0.11,L-Jul. 2017,0.2,0.071,0.14,L-Jul. 2015,0.9
3,Cereals and bakery products,1.039,271.374,272.922,271.708,272.174,271.865,272.445,272.429,271.950,272.544,271.750,270.858,269.646,269.847,272.625,272.457,271.369,272.242,271.556,272.263,272.051,271.096,272.019,272.374,271.015,270.590,271.091,-0.6,-0.3,-0.4,0.1,-0.5,-0.2,0.2,0.002,0.23,L-Aug. 2017,0.3,-0.006,0.30,L-Oct. 2017,-0.6
4,Cereals and cereal products,0.345,228.468,229.374,229.221,228.354,227.827,228.449,227.704,228.463,228.343,227.171,226.769,225.271,225.245,229.791,229.303,229.641,228.752,227.663,227.489,226.380,226.587,227.508,228.216,227.294,226.873,226.550,-1.4,-0.2,-0.7,0.0,-0.4,-0.2,-0.1,0.000,0.42,L-Sep. 2017,0.3,-0.005,0.57,S-Jul. 2017,-2.2
