,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, December 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Nov.
2015",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Dec.
2014","Jan.
2015","Feb.
2015","Mar.
2015","Apr.
2015","May
2015","Jun.
2015","Jul.
2015","Aug.
2015","Sep.
2015","Oct.
2015","Nov.
2015","Dec.
2015","Dec.
2014","Jan.
2015","Feb.
2015","Mar.
2015","Apr.
2015","May
2015","Jun.
2015","Jul.
2015","Aug.
2015","Sep.
2015","Oct.
2015","Nov.
2015","Dec.
2015","Dec.
2014-
Dec.
2015","Sep.
2015-
Oct.
2015","Oct.
2015-
Nov.
2015","Nov.
2015-
Dec.
2015","Sep.
2015-
Oct.
2015","Oct.
2015-
Nov.
2015","Nov.
2015-
Dec.
2015","Seasonally adjusted effect on All Items
Nov. 2015-
Dec. 2015(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Dec. 2014-
Dec. 2015(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,234.812,233.707,234.722,236.119,236.599,237.805,238.638,238.654,238.316,237.945,237.838,237.336,236.525,236.284,234.677,235.186,235.740,235.982,237.031,237.786,238.099,237.931,237.566,238.042,238.111,237.847,0.7,0.0,-0.2,-0.3,0.2,0.0,-0.1,,0.04,S-Sep. 2015,-0.2,,0.08,L-Dec. 2014,0.8
1,Food,14.239,245.976,246.538,246.680,246.045,246.121,246.187,246.680,247.003,247.671,248.632,249.052,248.306,247.903,246.237,246.132,246.512,246.003,245.998,246.014,246.734,247.149,247.729,248.676,249.027,248.744,248.140,0.8,0.2,-0.3,-0.2,0.1,-0.1,-0.2,-0.035,0.08,S-Mar. 2015,-0.2,0.112,0.13,S-Jun. 2010,0.7
2,Food at home,8.329,242.457,243.123,242.906,241.588,241.305,241.019,241.494,241.993,242.746,243.432,243.779,242.240,241.375,242.893,242.446,242.626,241.519,241.100,240.730,241.584,242.237,242.843,243.506,243.737,242.971,241.769,-0.4,0.1,-0.6,-0.4,0.1,-0.3,-0.5,-0.041,0.12,S-Mar. 2015,-0.5,-0.038,0.18,S-Mar. 2010,-0.7
3,Cereals and bakery products,1.139,270.635,273.589,273.052,273.812,273.366,273.595,274.479,275.526,274.968,273.530,275.753,273.752,273.245,271.625,273.551,272.935,274.020,273.115,272.912,274.298,274.735,274.460,273.839,275.952,274.626,274.243,1.0,0.8,-0.7,-0.2,0.8,-0.5,-0.1,-0.002,0.27,L-Oct. 2015,0.8,0.011,0.40,S-May 2015,0.8
4,Cereals and cereal products,0.369,230.374,234.274,233.180,234.289,235.098,235.494,236.261,235.467,234.975,231.297,234.718,231.769,232.176,231.623,234.421,233.399,234.984,235.526,234.425,235.085,233.659,234.062,232.249,235.342,232.441,233.434,0.8,1.5,-1.3,0.2,1.3,-1.2,0.4,0.002,0.44,L-Oct. 2015,1.3,0.003,0.67,L-Oct. 2015,0.8
5,Flour and prepared flour mixes,0.046,237.671,252.864,252.521,249.182,248.512,250.703,250.378,247.516,246.918,246.340,241.338,232.487,233.272,246.238,251.289,251.595,247.863,248.656,247.774,246.009,242.772,242.707,245.635,244.035,241.944,241.680,-1.9,-2.0,-3.7,0.3,-0.7,-0.9,-0.1,0.000,0.64,L-Sep. 2015,1.2,-0.001,0.84,L-Oct. 2015,-1.9
5,Breakfast cereal(4),0.194,230.769,229.484,227.634,228.916,230.143,230.513,230.528,230.690,230.311,226.458,231.909,229.607,231.211,230.769,229.484,227.634,228.916,230.143,230.513,230.528,230.690,230.311,226.458,231.909,229.607,231.211,0.2,2.4,-1.0,0.7,2.4,-1.0,0.7,0.001,0.71,L-Oct. 2015,2.4,0.000,1.05,L-Oct. 2015,1.2
5,"Rice, pasta, cornmeal(4)",0.129,232.171,240.148,239.943,242.449,243.164,242.946,245.318,243.768,243.125,238.495,241.909,240.058,238.446,232.171,240.148,239.943,242.449,243.164,242.946,245.318,243.768,243.125,238.495,241.909,240.058,238.446,2.7,1.4,-0.8,-0.7,1.4,-0.8,-0.7,-0.001,0.67,L-Oct. 2015,1.4,0.003,1.01,L-Jun. 2015,3.2
6,Rice(4)(5)(6),,166.519,168.316,168.560,167.930,167.775,168.551,169.016,168.963,166.188,163.139,166.795,166.908,164.284,166.519,168.316,168.560,167.930,167.775,168.551,169.016,168.963,166.188,163.139,166.795,166.908,164.284,-1.3,2.2,0.1,-1.6,2.2,0.1,-1.6,,0.83,S-Sep. 2015,-1.8,,1.28,S-Oct. 2015,-1.9
5,Bakery products,0.770,293.386,295.736,295.545,296.085,294.870,294.995,295.945,298.116,297.521,297.471,298.941,297.539,296.472,294.295,295.358,294.920,296.242,294.326,294.612,296.057,298.071,297.247,297.674,298.729,298.608,297.391,1.1,0.5,-0.5,-0.4,0.4,0.0,-0.4,-0.003,0.31,S-Apr. 2015,-0.6,0.008,0.49,S-May 2015,0.8
6,Bread(5),0.229,178.530,177.851,177.640,178.336,178.152,177.363,179.179,179.015,178.101,179.553,179.212,179.871,179.580,178.289,177.983,177.546,178.856,176.877,176.961,179.177,178.355,178.267,179.680,180.105,180.742,179.338,0.6,-0.2,0.4,-0.2,0.2,0.4,-0.8,-0.002,0.57,S-Apr. 2015,-1.1,0.001,0.84,S-Aug. 2015,0.5
7,White bread(4)(6),,322.479,323.078,319.578,321.666,323.733,324.282,325.160,326.016,321.254,325.682,324.115,323.439,325.728,322.479,323.078,319.578,321.666,323.733,324.282,325.160,326.016,321.254,325.682,324.115,323.439,325.728,1.0,-0.5,-0.2,0.7,-0.5,-0.2,0.7,,0.81,L-Sep. 2015,1.4,,1.17,S-Aug. 2015,0.5
7,Bread other than white(4)(6),,345.531,341.932,344.870,344.949,341.975,338.993,344.364,342.770,345.153,345.740,346.852,350.054,346.288,345.531,341.932,344.870,344.949,341.975,338.993,344.364,342.770,345.153,345.740,346.852,350.054,346.288,0.2,0.3,0.9,-1.1,0.3,0.9,-1.1,,0.88,S-Oct. 2014,-1.3,,1.26,S-Jul. 2015,-0.3
6,"Fresh biscuits, rolls, muffins(4)(5)",0.117,174.411,176.441,177.275,176.366,174.297,173.388,173.263,176.304,175.850,176.226,178.452,178.001,177.165,174.173,176.107,176.292,175.406,174.888,173.859,174.883,177.005,176.272,176.318,177.298,177.807,176.923,1.6,1.3,-0.3,-0.5,0.6,0.3,-0.5,-0.001,0.69,S-May 2015,-0.6,0.002,1.13,S-Oct. 2014,0.1
6,"Cakes, cupcakes, and cookies",0.191,275.390,277.375,277.960,278.229,273.531,276.262,277.605,279.449,280.122,279.419,282.084,281.813,281.614,273.502,277.026,278.458,278.176,273.854,278.125,279.345,280.191,282.076,280.606,280.449,277.601,279.684,2.3,1.0,-0.1,-0.1,-0.1,-1.0,0.8,0.001,0.64,L-May 2015,1.6,0.004,1.20,L-Oct. 2015,2.8
7,Cookies(4)(6),,267.330,269.384,269.929,270.043,263.872,265.737,266.502,269.951,269.976,268.768,270.045,268.687,268.512,264.279,268.305,269.883,270.230,263.695,267.223,269.202,270.807,273.584,270.824,269.152,263.315,265.446,0.4,0.5,-0.5,-0.1,-0.6,-2.2,0.8,,0.97,L-Aug. 2015,1.0,,1.51,L-Oct. 2015,1.8
7,Fresh cakes and cupcakes(4)(6),,285.085,286.946,288.126,288.749,285.771,289.296,291.787,291.947,293.605,294.360,298.398,299.012,298.337,285.085,286.946,288.126,288.749,285.771,289.296,291.787,291.947,293.605,294.360,298.398,299.012,298.337,4.6,1.4,0.2,-0.2,1.4,0.2,-0.2,,0.86,S-Apr. 2015,-1.0,,1.71,S-Oct. 2015,4.1
6,Other bakery products,0.233,261.042,265.872,264.547,265.596,267.455,267.537,266.764,269.682,269.075,267.095,268.190,263.670,261.739,265.777,266.437,263.884,265.782,266.809,265.038,265.015,268.594,266.179,265.899,268.177,268.971,266.488,0.3,0.4,-1.7,-0.7,0.9,0.3,-0.9,-0.002,0.66,S-Aug. 2015,-0.9,0.001,1.03,S-Jun. 2015,0.1
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,291.793,293.533,285.134,292.978,296.342,291.920,292.575,295.482,296.939,295.622,296.163,298.636,289.689,291.793,293.533,285.134,292.978,296.342,291.920,292.575,295.482,296.939,295.622,296.163,298.636,289.689,-0.7,0.2,0.8,-3.0,0.2,0.8,-3.0,,0.84,S-May 1999,-3.5,,1.50,S-Feb. 2015,-1.7
7,"Crackers, bread, and cracker products(6)",,300.566,305.606,306.065,308.639,308.793,308.786,309.845,311.969,312.894,308.153,308.930,301.365,302.993,307.285,305.958,303.880,310.358,307.658,304.841,308.438,310.534,309.016,306.406,307.954,309.321,309.767,0.8,0.3,-2.4,0.5,0.5,0.4,0.1,,1.25,S-Sep. 2015,-0.8,,1.50,L-Aug. 2015,0.8
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",,264.660,271.098,270.535,267.287,272.421,270.231,269.066,272.682,270.909,268.067,270.095,264.986,265.123,270.314,270.827,269.871,264.348,270.742,267.709,267.908,272.056,269.422,266.471,271.022,271.447,270.788,0.2,0.8,-1.9,0.1,1.7,0.2,-0.2,,0.88,S-Sep. 2015,-1.1,,1.38,L-Oct. 2015,0.6
3,"Meats, poultry, fish, and eggs",1.978,261.055,260.982,260.863,260.077,258.991,257.106,261.189,261.639,263.601,263.227,261.568,259.141,255.298,261.521,261.375,262.124,260.761,259.007,257.617,261.185,261.641,262.851,262.053,260.676,259.178,255.574,-2.2,-0.6,-0.9,-1.5,-0.5,-0.6,-1.4,-0.027,0.22,S-Aug. 1979,-3.3,-0.044,0.38,S-Feb. 2010,-2.7
4,"Meats, poultry, and fish",1.826,260.725,261.261,260.965,260.276,259.566,257.799,259.087,259.032,259.207,258.629,258.032,255.911,251.817,261.966,262.125,262.562,261.202,259.863,257.936,258.526,258.319,257.956,257.235,256.878,256.108,252.964,-3.4,-0.2,-0.8,-1.6,-0.1,-0.3,-1.2,-0.022,0.24,S-Apr. 1980,-1.2,-0.064,0.40,S-Dec. 2009,-3.6
5,Meats,1.191,267.048,267.215,267.185,265.816,263.991,263.120,264.536,264.988,265.154,265.345,264.906,261.591,256.932,268.313,268.506,268.694,266.403,264.568,263.507,264.371,264.660,263.572,263.722,263.262,261.592,258.068,-3.8,-0.2,-1.3,-1.8,-0.2,-0.6,-1.3,-0.016,0.27,S-Jul. 2009,-1.3,-0.047,0.51,S-Jan. 2010,-4.2
6,Beef and veal(4),0.565,321.776,322.162,324.308,324.612,325.822,325.578,328.468,327.203,325.303,323.227,319.940,315.453,307.976,321.776,322.162,324.308,324.612,325.822,325.578,328.468,327.203,325.303,323.227,319.940,315.453,307.976,-4.3,-1.0,-1.4,-2.4,-1.0,-1.4,-2.4,-0.013,0.40,S-Jan. 2004,-2.4,-0.025,0.70,S-Feb. 2010,-4.3
7,Uncooked ground beef(4),0.227,297.063,301.040,303.062,300.345,300.281,298.428,299.100,296.191,294.072,292.647,290.435,286.893,281.352,297.063,301.040,303.062,300.345,300.281,298.428,299.100,296.191,294.072,292.647,290.435,286.893,281.352,-5.3,-0.8,-1.2,-1.9,-0.8,-1.2,-1.9,-0.004,0.55,S-Jul. 2009,-2.9,-0.013,0.99,S-Jan. 2010,-5.4
7,Uncooked beef roasts(4)(5),0.081,241.682,239.039,239.587,239.680,241.354,243.162,244.103,243.424,241.524,238.344,235.869,232.795,224.408,241.682,239.039,239.587,239.680,241.354,243.162,244.103,243.424,241.524,238.344,235.869,232.795,224.408,-7.1,-1.0,-1.3,-3.6,-1.0,-1.3,-3.6,-0.003,0.87,S-Apr. 2005,-3.8,-0.006,1.52,S-Oct. 2009,-8.2
7,Uncooked beef steaks(4)(5),0.206,209.999,208.501,210.841,213.917,215.411,217.178,220.201,220.207,219.301,217.951,215.305,211.472,205.459,209.999,208.501,210.841,213.917,215.411,217.178,220.201,220.207,219.301,217.951,215.305,211.472,205.459,-2.2,-1.2,-1.8,-2.8,-1.2,-1.8,-2.8,-0.006,0.70,S-Jan. 2009,-2.9,-0.004,1.31,S-Mar. 2010,-2.8
7,Uncooked other beef and veal(4)(5),0.051,240.653,240.269,239.223,237.700,238.540,232.526,238.793,240.016,239.171,238.384,235.187,233.218,232.125,240.653,240.269,239.223,237.700,238.540,232.526,238.793,240.016,239.171,238.384,235.187,233.218,232.125,-3.5,-1.3,-0.8,-0.5,-1.3,-0.8,-0.5,0.000,0.81,L-Sep. 2015,-0.3,-0.002,1.35,S-Nov. 2009,-3.7
6,Pork,0.350,227.644,227.345,224.759,221.037,214.958,214.751,215.313,217.697,219.060,220.416,221.528,216.428,211.416,232.423,231.416,228.467,222.506,216.990,214.796,214.160,215.207,214.194,216.020,217.919,217.671,215.854,-7.1,0.5,-2.3,-2.3,0.9,-0.1,-0.8,-0.003,0.47,S-May 2015,-1.0,-0.027,0.81,S-Sep. 2015,-7.6
7,"Bacon, breakfast sausage, and related products(5)",0.137,160.793,162.666,160.277,156.851,154.130,150.689,151.947,153.632,156.500,158.888,160.692,158.455,154.824,164.436,164.869,162.174,157.690,155.188,149.822,150.849,152.133,153.400,155.764,158.967,160.880,158.331,-3.7,1.1,-1.4,-2.3,2.1,1.2,-1.6,-0.002,0.76,S-May 2015,-3.5,-0.005,1.18,S-Sep. 2015,-6.4
8,Bacon and related products(6),,288.576,289.399,284.602,278.059,271.994,259.630,266.031,271.069,280.298,291.302,296.871,295.115,287.262,293.998,294.132,290.829,280.392,275.214,260.461,264.348,269.469,273.217,282.765,292.280,296.452,292.659,-0.5,1.9,-0.6,-2.7,3.4,1.4,-1.3,,0.95,S-May 2015,-5.4,,1.27,S-Oct. 2015,-1.3
8,Breakfast sausage and related products(5)(6),,152.226,155.813,153.401,151.565,150.570,150.370,149.291,149.752,148.618,146.503,146.263,142.098,139.974,156.108,157.027,153.233,151.547,150.525,148.233,147.264,148.208,147.778,146.083,145.659,144.953,143.544,-8.0,-0.2,-2.8,-1.5,-0.3,-0.5,-1.0,,0.94,S-Sep. 2015,-1.1,,1.72,S-EVER,–
7,Ham,0.071,225.163,223.955,225.557,224.192,211.320,213.419,213.794,213.388,215.852,217.486,218.647,208.510,201.479,232.891,230.665,231.487,224.095,218.629,216.623,212.228,210.648,208.674,208.602,210.812,207.911,208.393,-10.5,0.5,-4.6,-3.4,1.1,-1.4,0.2,0.000,0.91,L-Oct. 2015,1.1,-0.008,1.93,L-Oct. 2015,-8.7
8,"Ham, excluding canned(6)",,254.600,252.296,253.101,252.354,235.894,238.527,238.749,238.713,241.962,243.720,245.779,232.470,224.415,264.349,261.025,260.851,252.044,245.161,242.892,237.381,235.313,232.880,232.174,235.678,231.351,233.009,-11.9,0.8,-5.4,-3.5,1.5,-1.8,0.7,,1.16,L-Oct. 2015,1.5,,1.91,L-Oct. 2015,-10.4
7,Pork chops,0.058,209.774,205.545,201.930,197.384,194.004,196.751,195.352,200.585,195.467,196.688,196.741,193.013,194.638,212.281,208.141,203.046,198.706,195.116,195.648,195.110,199.263,192.111,193.952,195.939,194.247,196.964,-7.2,0.0,-1.9,0.8,1.0,-0.9,1.4,0.001,1.17,L-Jul. 2015,2.1,-0.005,1.66,L-Jul. 2015,-2.7
7,Other pork including roasts and picnics(5),0.083,143.761,143.090,140.548,138.582,135.244,137.021,137.206,138.752,139.450,138.148,137.864,135.069,130.115,146.309,145.559,142.422,140.865,134.701,136.111,136.503,136.216,136.776,137.137,137.043,135.323,132.420,-9.5,-0.2,-2.0,-3.7,-0.1,-1.3,-2.1,-0.002,1.01,S-Apr. 2015,-4.4,-0.008,1.74,S-Dec. 2009,-11.0
6,Other meats,0.277,227.727,228.187,228.357,227.716,227.170,224.498,224.804,225.198,226.832,228.834,230.582,231.562,231.786,226.087,227.602,229.093,227.969,226.621,225.908,225.732,227.314,227.385,228.594,229.196,229.889,230.115,1.8,0.8,0.4,0.1,0.3,0.3,0.1,0.000,0.48,S-Aug. 2015,0.0,0.005,0.88,S-Apr. 2014,1.7
7,Frankfurters(6),,232.177,231.091,230.848,224.768,228.864,223.014,225.357,222.075,223.577,234.505,238.062,239.282,242.799,228.747,229.448,230.212,222.979,226.224,225.851,227.188,227.420,226.913,234.296,238.396,235.999,239.213,4.6,1.5,0.5,1.5,1.7,-1.0,1.4,,1.56,L-Oct. 2015,1.7,,2.45,S-Jul. 2015,4.2
7,Lunchmeats(5)(6),,146.350,147.264,147.495,146.624,145.850,145.756,145.209,146.079,147.285,147.621,148.695,149.702,149.880,145.440,147.455,147.363,147.131,146.172,146.642,145.755,146.856,146.937,147.630,147.664,148.792,148.949,2.4,0.7,0.7,0.1,0.0,0.8,0.1,,0.62,S-Oct. 2015,0.0,,1.08,L-Jul. 2015,2.9
7,Lamb and organ meats(4)(6),,327.856,326.113,327.701,338.631,332.201,322.173,326.497,334.859,335.187,330.318,333.408,328.743,324.056,327.856,326.113,327.701,338.631,332.201,322.173,326.497,334.859,335.187,330.318,333.408,328.743,324.056,-1.2,0.9,-1.4,-1.4,0.9,-1.4,-1.4,,1.72,–,–,,2.53,S-Jun. 2014,-3.4
7,Lamb and mutton(4)(5)(6),,176.160,177.230,176.461,182.720,178.104,172.695,174.869,179.976,180.661,179.801,182.134,179.742,172.933,176.160,177.230,176.461,182.720,178.104,172.695,174.869,179.976,180.661,179.801,182.134,179.742,172.933,-1.8,1.3,-1.3,-3.8,1.3,-1.3,-3.8,,2.54,S-Apr. 2014,-6.1,,4.22,S-May 2015,-3.1
6,Poultry,0.354,237.278,238.923,239.280,240.101,240.017,235.867,239.178,238.125,236.987,234.865,236.150,235.428,232.093,238.269,239.352,240.647,240.792,239.974,236.487,238.465,237.000,236.104,233.834,235.068,236.191,233.063,-2.2,0.5,-0.3,-1.4,0.5,0.5,-1.3,-0.005,0.63,S-May 2015,-1.5,-0.008,0.83,S-Nov. 2006,-3.1
7,Chicken(4)(5),0.287,153.611,154.250,153.809,154.302,154.347,150.656,153.242,152.223,151.600,150.239,150.875,151.342,148.812,153.611,154.250,153.809,154.302,154.347,150.656,153.242,152.223,151.600,150.239,150.875,151.342,148.812,-3.1,0.4,0.3,-1.7,0.4,0.3,-1.7,-0.005,0.76,S-May 2015,-2.4,-0.009,0.94,S-Nov. 2006,-4.2
8,Fresh whole chicken(4)(6),,255.908,260.875,258.439,257.088,255.772,253.259,258.315,254.575,253.129,245.638,247.292,250.663,246.745,255.908,260.875,258.439,257.088,255.772,253.259,258.315,254.575,253.129,245.638,247.292,250.663,246.745,-3.6,0.7,1.4,-1.6,0.7,1.4,-1.6,,1.42,S-Sep. 2015,-3.0,,1.98,S-Sep. 2015,-4.6
8,Fresh and frozen chicken parts(4)(6),,228.645,227.669,227.781,229.275,229.389,222.509,226.270,225.204,223.913,223.857,225.242,225.208,221.440,228.645,227.669,227.781,229.275,229.389,222.509,226.270,225.204,223.913,223.857,225.242,225.208,221.440,-3.2,0.6,0.0,-1.7,0.6,0.0,-1.7,,0.72,S-May 2015,-3.0,,1.18,S-Nov. 2006,-6.4
7,Other poultry including turkey(5),0.067,150.663,153.563,156.716,157.405,156.920,158.661,158.833,159.634,158.416,157.014,158.680,154.155,153.655,154.863,153.563,156.520,156.465,156.821,157.983,157.524,158.098,157.685,155.051,157.765,158.422,157.938,2.0,1.1,-2.9,-0.3,1.8,0.4,-0.3,0.000,0.78,S-Sep. 2015,-1.7,0.001,1.61,L-Jul. 2014,2.1
6,Fish and seafood(4),0.281,289.586,290.187,287.652,287.739,291.137,288.711,286.469,285.588,287.811,285.988,281.766,282.827,279.822,291.205,289.827,290.144,290.654,290.692,286.989,284.272,283.674,287.412,284.980,282.653,283.079,281.387,-3.4,-1.5,0.4,-1.1,-0.8,0.2,-0.6,-0.002,0.54,S-Oct. 2015,-0.8,-0.010,0.84,S-Feb. 2002,-3.6
7,Fresh fish and seafood(5),0.143,174.909,176.381,175.290,176.961,176.865,175.366,173.315,170.466,174.261,174.060,171.066,170.835,168.813,176.510,176.425,177.269,177.215,176.466,174.098,172.264,170.248,174.066,172.697,171.249,171.294,170.358,-3.5,-1.7,-0.1,-1.2,-0.8,0.0,-0.5,-0.001,0.87,S-Oct. 2015,-0.8,-0.005,1.49,S-Jul. 2015,-3.6
7,Processed fish and seafood(5),0.137,149.279,148.602,146.903,145.508,149.172,147.952,147.415,149.023,147.987,146.247,144.464,145.787,144.423,149.206,147.998,148.744,148.047,149.561,147.226,146.244,147.460,147.711,146.093,144.600,145.515,144.352,-3.3,-1.2,0.9,-0.9,-1.0,0.6,-0.8,-0.001,0.53,S-Oct. 2015,-1.0,-0.005,0.95,S-Oct. 2015,-3.3
8,Shelf stable fish and seafood(4)(6),,201.154,200.511,199.755,198.387,202.547,200.040,199.751,202.931,202.323,202.307,202.976,202.884,203.689,201.154,200.511,199.755,198.387,202.547,200.040,199.751,202.931,202.323,202.307,202.976,202.884,203.689,1.3,0.3,0.0,0.4,0.3,0.0,0.4,,0.88,L-Jul. 2015,1.6,,1.25,L-Sep. 2015,1.7
8,Frozen fish and seafood(6),,324.060,322.538,316.874,311.178,321.125,320.722,317.646,321.858,318.309,311.752,303.469,307.024,300.581,325.122,321.846,321.984,317.830,322.639,317.016,313.066,317.843,317.284,310.801,304.584,306.785,301.567,-7.2,-2.7,1.2,-2.1,-2.0,0.7,-1.7,,0.75,S-Oct. 2015,-2.0,,1.70,S-EVER,–
5,Eggs,0.152,265.375,256.599,259.024,256.850,250.376,246.821,290.829,298.494,325.985,328.540,311.713,304.898,304.654,254.766,250.255,255.460,254.073,246.375,252.673,298.788,308.718,332.397,330.503,314.550,302.653,292.475,14.8,-5.1,-2.2,-0.1,-4.8,-3.8,-3.4,-0.005,0.62,L-Sep. 2015,-0.6,0.020,1.09,S-May 2015,3.1
3,Dairy and related products(4),0.853,229.870,227.800,225.535,224.449,222.691,221.039,219.696,221.443,220.716,222.310,221.874,220.613,220.848,229.870,227.800,225.535,224.449,222.691,221.039,219.696,221.443,220.716,222.310,221.874,220.613,220.848,-3.9,-0.2,-0.6,0.1,-0.2,-0.6,0.1,0.001,0.26,L-Sep. 2015,0.7,-0.035,0.42,S-Jan. 2010,-5.1
4,Milk(4)(5),0.256,158.192,154.769,149.660,149.422,147.556,146.907,145.293,147.398,145.845,146.675,145.685,144.813,145.728,158.192,154.769,149.660,149.422,147.556,146.907,145.293,147.398,145.845,146.675,145.685,144.813,145.728,-7.9,-0.7,-0.6,0.6,-0.7,-0.6,0.6,0.002,0.33,L-Sep. 2015,0.6,-0.022,0.64,S-Dec. 2009,-10.6
5,Fresh whole milk(4)(6),,230.103,226.569,217.891,216.740,213.775,211.834,209.330,212.579,209.408,210.564,210.449,208.448,209.399,230.103,226.569,217.891,216.740,213.775,211.834,209.330,212.579,209.408,210.564,210.449,208.448,209.399,-9.0,-0.1,-1.0,0.5,-0.1,-1.0,0.5,,0.53,L-Sep. 2015,0.6,,1.04,L-Oct. 2015,-8.5
5,Fresh milk other than whole(4)(5)(6),,161.038,156.975,152.556,152.663,151.182,150.779,149.280,151.327,150.207,150.514,149.187,148.208,149.495,161.038,156.975,152.556,152.663,151.182,150.779,149.280,151.327,150.207,150.514,149.187,148.208,149.495,-7.2,-0.9,-0.7,0.9,-0.9,-0.7,0.9,,0.45,L-Jul. 2015,1.4,,0.89,S-Dec. 2009,-8.4
4,Cheese and related products,0.275,239.549,238.322,237.470,235.601,233.001,233.116,231.056,234.226,231.901,233.184,232.850,232.164,230.712,240.273,236.771,235.543,233.884,232.773,233.193,233.348,235.856,232.552,234.045,232.072,232.023,231.411,-3.7,-0.1,-0.3,-0.6,-0.8,0.0,-0.3,-0.001,0.46,S-Oct. 2015,-0.8,-0.011,0.81,S-Feb. 2010,-4.7
